Date,ABB,ADANIENT,ADANIGREEN,ADANIPORTS,ALKEM,AMBUJACEM,APOLLOHOSP,APOLLOTYRE,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BALKRISIND,BANKBARODA,BERGEPAINT,BHARATFORG,BHARTIARTL,BIOCON,BOSCHLTD,BPCL,BRITANNIA,CANBK,CIPLA,COALINDIA,COLPAL,DABUR,DIVISLAB,DLF,DRREDDY,EICHERMOT,EMAMILTD,EXIDEIND,FORTIS,GAIL,GODREJCP,GRASIM,HAVELLS,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,ICICIGI,INDIGO,INDUSINDBK,INFY,IOC,IPCALAB,IRFC,ITC,JINDALSTEL,JSWSTEEL,KOTAKBANK,LAURUSLABS,LT,LUPIN,M&M,MARICO,MARUTI,MAXHEALTH,MOTHERSON,MRF,NESTLEIND,NHPC,NMDC,NTPC,ONGC,PAGEIND,PFC,PIDILITIND,PNB,POWERGRID,RECLTD,RELIANCE,SAIL,SBILIFE,SBIN,SHREECEM,SIEMENS,SUNPHARMA,TATACONSUM,TATAMOTORS,TATAPOWER,TATASTEEL,TCS,TECHM,TITAN,TORNTPHARM,TRENT,TVSMOTOR,ULTRACEMCO,UNIONBANK,VEDL,WIPRO,ZOMATO
2022-12-12,2944.4833984375,4011.197509765625,2024.050048828125,867.4546508789062,3019.29931640625,577.7945556640625,4703.00244140625,312.69989013671875,3071.33740234375,444.8783264160156,936.1699829101562,3376.279052734375,1589.483642578125,640.707275390625,2020.7452392578125,173.55548095703125,509.58648681640625,852.4629516601562,813.2435913085938,268.4039306640625,16516.546875,151.11427307128906,4246.1923828125,57.952491760253906,1067.42626953125,187.7317657470703,1544.381103515625,582.014404296875,3276.93212890625,394.3913879394531,872.8037719726562,3206.631591796875,421.73876953125,187.98077392578125,286.0975341796875,83.0728759765625,863.1911010742188,1784.85498046875,1146.3768310546875,908.6635131835938,790.9195556640625,571.0794067382812,2493.4052734375,453.0151062011719,2571.84423828125,907.824462890625,1203.4266357421875,2050.48486328125,1180.548828125,1418.9793701171875,66.35059356689453,856.371826171875,31.980361938476562,297.29534912109375,550.48486328125,730.0425415039062,372.0058898925781,400.76763916015625,2103.058349609375,740.8917846679688,1231.901611328125,511.5469055175781,8407.7431640625,430.93817138671875,47.664554595947266,90961.828125,995.5714111328125,37.59089279174805,36.18547821044922,152.93173217773438,122.01118469238281,44568.09765625,101.31602478027344,1322.6090087890625,55.09346008300781,141.4414520263672,95.8016586303711,1192.871337890625,81.21903991699219,1255.591064453125,579.8034057617188,23933.224609375,1759.8798828125,959.0267944335938,789.9989624023438,,213.44073486328125,103.6167984008789,2955.2744140625,940.9918823242188,2560.195556640625,1561.092529296875,1445.177490234375,1024.3897705078125,7027.84619140625,79.85901641845703,214.06846618652344,189.6927032470703,
2022-12-13,2946.205810546875,4054.63818359375,2021.4000244140625,880.7425537109375,3007.62353515625,577.30078125,4640.07861328125,308.05438232421875,3083.123046875,447.5395812988281,942.1041870117188,3413.82763671875,1608.8018798828125,651.8936157226562,2059.604736328125,176.24945068359375,500.4983825683594,872.2728881835938,822.717041015625,263.84295654296875,16700.529296875,149.8802490234375,4240.4443359375,59.03741455078125,1080.1754150390625,187.04513549804688,1536.8935546875,574.0441284179688,3293.371826171875,392.0898742675781,873.9603271484375,3199.43701171875,415.6246337890625,188.91476440429688,284.90509033203125,83.47571563720703,845.3074340820312,1780.430419921875,1131.2489013671875,923.0656127929688,793.1088256835938,576.8744506835938,2482.609130859375,449.23956298828125,2565.2666015625,910.4105224609375,1198.1427001953125,2027.0245361328125,1208.136474609375,1441.86181640625,65.38351440429688,854.0360717773438,32.36335754394531,299.3743591308594,547.9531860351562,733.3929443359375,372.5542297363281,387.68133544921875,2112.00048828125,732.9114379882812,1250.76025390625,506.0361022949219,8369.8291015625,427.752685546875,47.17316436767578,90540.125,990.758056640625,38.459781646728516,36.0399169921875,153.203369140625,123.72543334960938,44942.39453125,101.14163970947266,1303.248291015625,56.800315856933594,141.93359375,95.29094696044922,1198.3037109375,80.45417785644531,1270.1031494140625,583.3027954101562,23863.728515625,1731.96142578125,966.068603515625,787.609619140625,,214.56825256347656,103.1529769897461,2996.32470703125,953.43701171875,2551.528564453125,1575.211181640625,1439.1456298828125,1023.4026489257812,7104.9892578125,85.46556091308594,217.01370239257812,190.36273193359375,
2022-12-14,2959.543212890625,4050.244384765625,2018.1500244140625,886.4022216796875,3002.633544921875,574.9799194335938,4627.4833984375,309.07061767578125,3051.5498046875,447.983154296875,939.9100341796875,3428.189697265625,1620.3829345703125,655.3500366210938,2107.93359375,175.0166015625,498.16497802734375,891.10205078125,814.0289306640625,269.1475524902344,16709.12890625,151.00601196289062,4224.302734375,59.27247619628906,1082.9002685546875,187.52981567382812,1470.8167724609375,567.18505859375,3330.962158203125,398.7985534667969,883.0564575195312,3253.9033203125,417.8996887207031,188.81646728515625,286.2466125488281,85.93746185302734,855.28564453125,1791.295166015625,1134.834716796875,933.226806640625,799.8211059570312,574.8932495117188,2471.72314453125,460.222900390625,2540.98876953125,899.4810180664062,1216.97900390625,2012.29931640625,1225.94140625,1448.510986328125,65.71988677978516,859.20458984375,32.506988525390625,299.2010498046875,556.541259765625,746.8930053710938,373.4913635253906,393.67919921875,2133.91845703125,747.5420532226562,1253.7813720703125,503.25665283203125,8390.12109375,429.8929443359375,47.33695602416992,90734.703125,974.9745483398438,38.32258987426758,36.4620361328125,155.37646484375,126.51107788085938,43573.9296875,102.01355743408203,1297.09814453125,56.1839485168457,143.83656311035156,96.44007873535156,1193.9669189453125,81.4102554321289,1262.1016845703125,591.5782470703125,24006.96484375,1754.11669921875,971.5076293945312,795.2652587890625,,218.34291076660156,104.86911010742188,3026.223876953125,971.0787353515625,2566.584716796875,1568.63525390625,1446.9720458984375,1015.4566040039062,7077.70166015625,85.96694946289062,219.02342224121094,191.46351623535156,
2022-12-15,2884.243408203125,4038.210693359375,2024.9000244140625,870.06298828125,2968.236083984375,554.2403564453125,4604.42626953125,312.21600341796875,3036.660400390625,440.49212646484375,935.6712646484375,3397.447021484375,1602.2626953125,652.4154663085938,2107.639404296875,168.53282165527344,495.708740234375,881.8836059570312,811.2311401367188,268.0073547363281,16782.763671875,151.17921447753906,4277.70947265625,57.952491760253906,1072.2923583984375,184.33901977539062,1459.0709228515625,566.9918823242188,3303.08837890625,391.4532775878906,876.0775756835938,3190.262451171875,417.1412353515625,187.8332977294922,282.6194763183594,87.14595794677734,870.7592163085938,1756.9312744140625,1134.2451171875,920.9893188476562,785.1695556640625,574.7446899414062,2492.86572265625,452.0834655761719,2520.73388671875,886.8438720703125,1207.68310546875,2011.6005859375,1212.685546875,1412.8345947265625,65.6778335571289,855.2288818359375,31.501615524291992,293.5272216796875,538.322509765625,732.5060424804688,371.49749755859375,391.05206298828125,2116.520263671875,739.7587280273438,1254.268798828125,497.5542297363281,8334.34375,431.4857177734375,46.878334045410156,90443.484375,959.1498413085938,37.728084564208984,36.34558868408203,155.82920837402344,126.38250732421875,42308.2578125,100.0953598022461,1287.380859375,56.231361389160156,141.96641540527344,97.20613861083984,1177.008056640625,79.88053131103516,1265.8291015625,582.5462036132812,23951.021484375,1718.2628173828125,973.401611328125,784.9764404296875,,217.4605255126953,102.92108154296875,2972.045654296875,932.4672241210938,2498.831787109375,1555.9669189453125,1431.6683349609375,1025.6236572265625,6995.4443359375,82.09251403808594,215.48907470703125,189.14231872558594,
2022-12-16,2793.981689453125,3975.346923828125,2044.25,846.9322509765625,2955.8330078125,549.1542358398438,4527.32080078125,312.6514892578125,2964.20166015625,435.5145568847656,932.6292724609375,3332.01953125,1584.491943359375,649.6090698242188,2084.087890625,166.2041473388672,487.0300598144531,865.1138305664062,807.6969604492188,263.84295654296875,16598.39453125,147.97508239746094,4257.83154296875,56.234718322753906,1060.224365234375,181.47132873535156,1480.45703125,560.0843505859375,3265.252685546875,385.528076171875,844.7410888671875,3178.625732421875,412.1645812988281,186.35855102539062,276.16015625,86.60884857177734,864.5889892578125,1726.8935546875,1133.3609619140625,909.76806640625,788.9467163085938,569.7916870117188,2451.48046875,447.9156494140625,2528.353271484375,880.208251953125,1209.884765625,1959.08935546875,1202.853759765625,1396.0513916015625,64.71074676513672,849.1658325195312,30.735614776611328,290.2787780761719,539.0175170898438,732.6046142578125,366.9813537597656,384.9550476074219,2114.04150390625,718.527099609375,1219.8165283203125,492.8101501464844,8238.85546875,425.0151672363281,46.22315216064453,88691.6875,959.1910400390625,37.49943542480469,35.967140197753906,153.7466278076172,126.168212890625,41280.70703125,98.77005004882812,1275.7447509765625,53.81332015991211,139.89939880371094,94.397216796875,1171.1876220703125,78.97225189208984,1246.595703125,570.6294555664062,23388.435546875,1676.877197265625,965.0972290039062,781.7092895507812,,213.0976104736328,103.01384735107422,2913.72998046875,930.6893310546875,2459.35888671875,1546.5869140625,1403.0550537109375,1026.4132080078125,6897.306640625,77.21527862548828,213.30612182617188,186.53396606445312,
2022-12-19,2851.810302734375,4069.717529296875,2062.050048828125,878.8231811523438,2907.482421875,556.8574829101562,4572.24609375,314.0548095703125,2988.5,431.424072265625,943.699951171875,3407.256591796875,1616.3895263671875,658.4813232421875,2094.343017578125,166.61508178710938,484.7785339355469,869.1837158203125,825.0240478515625,260.81878662109375,16655.0703125,147.7802276611328,4336.19189453125,57.49140930175781,1067.2801513671875,183.61199951171875,1498.6607666015625,569.0689697265625,3283.8515625,388.417236328125,861.7864990234375,3272.735107421875,407.2826843261719,186.9976043701172,278.0482482910156,87.19071197509766,873.940673828125,1736.1851806640625,1141.9564208984375,912.9489135742188,791.4006958007812,578.9546508789062,2501.63720703125,451.2498779296875,2572.648681640625,884.5507202148438,1221.5291748046875,2023.68017578125,1196.9840087890625,1382.43212890625,65.55168914794922,848.9173583984375,31.4537410736084,294.95648193359375,548.6480712890625,738.51708984375,370.4905700683594,384.4097595214844,2122.789306640625,717.8374633789062,1257.8748779296875,503.59210205078125,8353.4697265625,422.6758117675781,46.22315216064453,89492.109375,975.8566284179688,36.72201156616211,36.08358383178711,155.5575714111328,124.9682846069336,42271.078125,100.65338134765625,1279.1641845703125,53.149539947509766,143.6396942138672,96.44007873535156,1186.5716552734375,79.306884765625,1259.865234375,571.6697998046875,23484.892578125,1712.4705810546875,959.5609741210938,788.8286743164062,,212.558349609375,103.7095718383789,2879.379150390625,936.0684814453125,2497.9404296875,1545.1846923828125,1413.7725830078125,1042.453125,6958.17529296875,77.5799331665039,217.84532165527344,186.1989288330078,
2022-12-20,2878.97705078125,4159.59375,2061.64990234375,870.3582763671875,2908.74169921875,553.1539916992188,4558.56005859375,316.8614807128906,2989.6640625,432.1632995605469,947.2406005859375,3392.096435546875,1612.9951171875,654.1338500976562,2102.732666015625,167.7109375,484.5738220214844,879.7260131835938,813.7835693359375,259.8273010253906,16722.859375,147.3256072998047,4319.47607421875,58.25084686279297,1061.927490234375,182.6426239013672,1494.823486328125,559.8428955078125,3289.446044921875,381.31683349609375,856.6307983398438,3199.87158203125,405.1498718261719,187.2925567626953,279.7376403808594,87.6383056640625,862.4680786132812,1729.4500732421875,1151.5343017578125,909.8121948242188,785.939453125,574.348388671875,2494.39501953125,448.2098388671875,2531.42919921875,887.7222290039062,1209.884765625,2060.318359375,1201.973388671875,1382.38623046875,65.42555236816406,867.5535888671875,34.13473129272461,294.6532897949219,542.1448974609375,734.9202880859375,368.287353515625,381.7330017089844,2102.620849609375,715.2265625,1242.865966796875,504.215087890625,8276.2841796875,436.26397705078125,45.53520965576172,88584.4765625,978.4757690429688,36.767738342285156,35.35580062866211,153.7013702392578,125.01112365722656,41919.82421875,98.83979034423828,1267.774169921875,52.675411224365234,142.58978271484375,95.54631805419922,1196.843017578125,78.25518798828125,1223.83349609375,571.6697998046875,23392.673828125,1712.0361328125,959.949462890625,788.292236328125,,213.5878143310547,102.92108154296875,2917.057373046875,928.0910034179688,2484.419189453125,1523.28125,1408.1395263671875,1042.3543701171875,6979.80908203125,76.44039154052734,216.28607177734375,186.1510772705078,
2022-12-21,2796.4423828125,3896.60498046875,1968.25,844.1762084960938,2955.78466796875,532.51318359375,4726.705078125,308.73187255859375,2977.538818359375,447.0960693359375,929.8367309570312,3389.702880859375,1579.20068359375,642.6962890625,2094.04833984375,162.14035034179688,483.3457336425781,856.3367309570312,799.1071166992188,268.89971923828125,16541.390625,144.66268920898438,4233.068359375,56.88566207885742,1097.79052734375,180.82508850097656,1475.028564453125,557.6691284179688,3453.547607421875,372.6004638671875,864.0409545898438,3161.04931640625,406.0503845214844,183.99896240234375,283.8616638183594,85.13179016113281,852.5862426757812,1703.8369140625,1135.865966796875,919.2222290039062,778.3370361328125,569.98974609375,2480.809814453125,448.30792236328125,2523.526123046875,870.6937866210938,1198.09375,2012.8485107421875,1175.706298828125,1384.44970703125,64.24822998046875,889.8673706054688,30.927114486694336,290.32208251953125,543.683837890625,732.2596435546875,361.8072814941406,390.8041687011719,2086.146240234375,740.2514038085938,1233.558349609375,499.9981689453125,8107.39599609375,437.5580749511719,45.99383544921875,87776.2578125,987.1572265625,36.17323684692383,34.64257049560547,152.07154846191406,122.99687194824219,41556.77734375,95.97992706298828,1262.386474609375,50.39961242675781,141.76954650878906,93.6736831665039,1179.8155517578125,77.82495880126953,1226.914794921875,561.2190551757812,23236.08203125,1670.737548828125,976.7037963867188,782.7333984375,,209.61703491210938,101.48324584960938,2939.1787109375,935.4759521484375,2466.045166015625,1530.82421875,1362.2783203125,1019.9971923828125,6834.96240234375,74.02456665039062,210.11834716796875,186.414306640625,
2022-12-22,2758.84130859375,3863.25048828125,1980.75,843.4379272460938,2990.521484375,526.2418823242188,4742.076171875,306.1187744140625,2995.872314453125,440.0978698730469,917.120361328125,3380.128173828125,1541.7623291015625,639.1463623046875,2112.3984375,161.27281188964844,484.90130615234375,842.0186767578125,801.6594848632812,267.3628234863281,16383.2451171875,141.97811889648438,4206.8203125,56.38841247558594,1092.38916015625,179.89613342285156,1484.4814453125,558.1522216796875,3431.121337890625,370.0540771484375,852.6119995117188,3096.15283203125,405.0550537109375,180.80368041992188,278.2470397949219,84.28137969970703,859.3348999023438,1715.5865478515625,1118.1842041015625,918.1177978515625,775.66650390625,572.4166870117188,2454.04443359375,446.6898193359375,2503.7919921875,869.1324462890625,1213.1138916015625,1973.7645263671875,1154.5264892578125,1395.9136962890625,63.154998779296875,873.0202026367188,29.92174530029297,287.9832458496094,535.9892578125,726.7905883789062,364.0902404785156,387.978759765625,2050.814697265625,754.9805908203125,1202.61474609375,500.6210632324219,8091.81201171875,445.1734313964844,45.20762252807617,87776.0546875,986.7879028320312,35.76165008544922,34.03123474121094,150.21536254882812,121.92548370361328,41691.08203125,95.73579406738281,1255.498291015625,50.96855926513672,141.08055114746094,95.75911712646484,1176.7569580078125,75.2435302734375,1237.252197265625,561.2190551757812,23475.826171875,1657.183837890625,981.6087646484375,778.8812255859375,,204.8129119873047,99.8598861694336,2931.220458984375,926.17626953125,2459.50732421875,1533.6767578125,1328.4306640625,1025.6728515625,6895.63427734375,69.42082977294922,209.32138061523438,186.0553436279297,
2022-12-23,2638.70556640625,3637.210693359375,1809.050048828125,781.62451171875,2945.1748046875,485.1578369140625,4661.20166015625,298.23114013671875,2966.141845703125,431.2268981933594,904.2045288085938,3324.697509765625,1494.5899658203125,627.71875,2034.9246826171875,154.37808227539062,471.228271484375,826.1315307617188,793.85498046875,264.7848815917969,16008.6201171875,140.76576232910156,4149.77392578125,52.7177848815918,1089.1776123046875,173.7165069580078,1467.166748046875,546.6558837890625,3433.623779296875,349.6342468261719,845.005859375,3006.920166015625,392.40008544921875,174.3639678955078,270.4461975097656,81.95390319824219,842.0294799804688,1680.4361572265625,1081.3468017578125,910.6073608398438,768.7376708984375,560.1333618164062,2372.308837890625,421.2417297363281,2480.839599609375,857.6663818359375,1197.310791015625,1911.0205078125,1122.9276123046875,1373.0313720703125,61.389015197753906,859.1051025390625,26.666259765625,283.0023193359375,520.5504760742188,717.2321166992188,363.27276611328125,380.7912292480469,2004.9375,745.5715942382812,1193.502197265625,494.10394287109375,7904.67236328125,430.44049072265625,43.83173370361328,85664.3203125,978.3397216796875,35.39580535888672,32.47377395629883,147.58953857421875,119.8255386352539,41341.6171875,91.93424987792969,1225.2393798828125,47.12813949584961,138.61985778808594,92.56713104248047,1142.245849609375,71.41920471191406,1217.2235107421875,542.8711547851562,22940.494140625,1614.408203125,972.7702026367188,759.717529296875,,193.0476837158203,94.85065460205078,2903.02978515625,907.8507080078125,2459.55712890625,1510.999755859375,1280.5257568359375,997.4423828125,6794.349609375,61.58078384399414,197.64431762695312,180.74290466308594,
